individual,rear,group_assignment,reallocate_stock,stock_assignment,basin
OmyCOLU20S_1001,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1002,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1004,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1005,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1006,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1007,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1009,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1008,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1145,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1146,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1147,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1148,H,Skamania2016,Skamania,Skamania,SKAMAN
OmyCOLU20S_1149,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1150,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1151,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1152,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1153,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1154,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_0976,H,Skamania2016,Skamania,Skamania,SKAMAN
OmyCOLU20S_0977,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_0990,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1031,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1032,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1033,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1034,H,Skamania2016,Skamania,Skamania,SKAMAN
OmyCOLU20S_1035,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1072,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1073,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1083,H,Skamania2016,Skamania,Skamania,SKAMAN
OmyCOLU20S_1143,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_1144,U,SKAMAN,,SKAMAN,SKAMAN
OmyCOLU20S_0991,U,SKAMAN,,SKAMAN,SKAMAN
